method,metric,mean,std,n_seeds
bm25_rag,all_evidence_hit@5,0.14133333333333334,0.012055427546683413,3
bm25_rag,answer_accuracy,0.17933333333333334,0.011547005383792509,3
bm25_rag,evidence_coverage@5,0.4155555555555555,0.004670633234885269,3
bm25_rag,evidence_hit_count,1.088,0.006928203230275516,3
bm25_rag,evidence_total,2.4713333333333334,0.027006172134038924,3
bm25_rag,faithfulness,1.0,0.0,3
bm25_rag,first_two_evidence_hit@5,0.19399999999999998,0.015620499351813305,3
bm25_rag,hit@5,0.7159999999999999,0.016370705543744913,3
bm25_rag,mrr,0.6318333333333334,0.019423811274938908,3
bm25_rag,precision@5,0.5047999999999999,0.019229144546755048,3
bm25_rag,recall@5,0.4155555555555555,0.004670633234885269,3
ercs_graphrag,all_evidence_hit@5,0.05533333333333334,0.00901849950564579,3
ercs_graphrag,answer_accuracy,0.18800000000000003,0.02163330765278393,3
ercs_graphrag,evidence_coverage@5,0.3017222222222222,0.004438885412319584,3
ercs_graphrag,evidence_hit_count,0.7840000000000001,0.007211102550927985,3
ercs_graphrag,evidence_total,2.4713333333333334,0.027006172134038924,3
ercs_graphrag,faithfulness,1.0,0.0,3
ercs_graphrag,first_two_evidence_hit@5,0.09066666666666667,0.0075718777944003635,3
ercs_graphrag,hit@5,0.6106666666666666,0.005773502691896263,3
ercs_graphrag,mrr,0.4776666666666667,0.013771629452529527,3
ercs_graphrag,precision@5,0.38920000000000005,0.015450566332662367,3
ercs_graphrag,recall@5,0.3017222222222222,0.004438885412319584,3
graph_rag,all_evidence_hit@5,0.04533333333333334,0.006429100507328638,3
graph_rag,answer_accuracy,0.152,0.014422205101855958,3
graph_rag,evidence_coverage@5,0.25566666666666665,0.011169153951844342,3
graph_rag,evidence_hit_count,0.662,0.022715633383201116,3
graph_rag,evidence_total,2.4713333333333334,0.027006172134038924,3
graph_rag,faithfulness,1.0,0.0,3
graph_rag,first_two_evidence_hit@5,0.08266666666666667,0.0050332229568471635,3
graph_rag,hit@5,0.5406666666666667,0.014742229591664,3
graph_rag,mrr,0.43624444444444443,0.016283813822093172,3
graph_rag,precision@5,0.3458666666666667,0.011657329597010343,3
graph_rag,recall@5,0.25566666666666665,0.011169153951844342,3
hybrid_rag,all_evidence_hit@5,0.118,0.005291502622129178,3
hybrid_rag,answer_accuracy,0.18600000000000003,0.019287301521985913,3
hybrid_rag,evidence_coverage@5,0.38938888888888884,0.004537906190369389,3
hybrid_rag,evidence_hit_count,1.018,0.010392304845413272,3
hybrid_rag,evidence_total,2.4713333333333334,0.027006172134038924,3
hybrid_rag,faithfulness,1.0,0.0,3
hybrid_rag,first_two_evidence_hit@5,0.17533333333333334,0.01285820101465727,3
hybrid_rag,hit@5,0.7053333333333333,0.018583146486355156,3
hybrid_rag,mrr,0.6232888888888889,0.020568431402767953,3
hybrid_rag,precision@5,0.5073333333333334,0.022755512152736412,3
hybrid_rag,recall@5,0.38938888888888884,0.004537906190369389,3
ucp_ercs_graphrag,all_evidence_hit@5,0.06533333333333334,0.0075718777944003635,3
ucp_ercs_graphrag,answer_accuracy,0.19066666666666665,0.01616580753730952,3
ucp_ercs_graphrag,evidence_coverage@5,0.31316666666666665,0.0009279607271383744,3
ucp_ercs_graphrag,evidence_hit_count,0.816,0.008717797887081291,3
ucp_ercs_graphrag,evidence_total,2.4713333333333334,0.027006172134038924,3
ucp_ercs_graphrag,faithfulness,1.0,0.0,3
ucp_ercs_graphrag,first_two_evidence_hit@5,0.10266666666666667,0.005033222956847164,3
ucp_ercs_graphrag,hit@5,0.6173333333333333,0.003055050463303896,3
ucp_ercs_graphrag,mrr,0.47123333333333334,0.009865089964110823,3
ucp_ercs_graphrag,precision@5,0.3677333333333334,0.012701705922171748,3
ucp_ercs_graphrag,recall@5,0.31316666666666665,0.0009279607271383744,3
vector_rag,all_evidence_hit@5,0.044000000000000004,0.006000000000000002,3
vector_rag,answer_accuracy,0.17466666666666666,0.026102362600602516,3
vector_rag,evidence_coverage@5,0.2953333333333334,0.007767453465154036,3
vector_rag,evidence_hit_count,0.7706666666666667,0.014468356276140484,3
vector_rag,evidence_total,2.4713333333333334,0.027006172134038924,3
vector_rag,faithfulness,1.0,0.0,3
vector_rag,first_two_evidence_hit@5,0.08133333333333333,0.009451631252505217,3
vector_rag,hit@5,0.618,0.01200000000000001,3
vector_rag,mrr,0.5044777777777778,0.02231656916417172,3
vector_rag,precision@5,0.41986666666666667,0.01958094311654404,3
vector_rag,recall@5,0.2953333333333334,0.007767453465154036,3
